Hhid,InstoreVisits,InstoreSpend,InstoreQuantity,OnlineVisits,OnlineSpend,OnlineQuantity,TotalVisits,TotalSpend,TotalQuantity
72611,19,389.32,145,24,3028.93,1515,43,3418.25,1660
72801,29,518.53,348,0,0,0,29,518.53,348
72951,78,3379.5,1652,0,0,0,78,3379.5,1652
73011,6,124.78,84,0,0,0,6,124.78,84
73731,36,1819.07,1013,0,0,0,36,1819.07,1013
75591,136,3287.98,1703,0,0,0,136,3287.98,1703
76031,49,945.55,303,0,0,0,49,945.55,303
76601,53,1442.59,934,0,0,0,53,1442.59,934
76751,2,35.64,19,0,0,0,2,35.64,19
77911,50,1229.85,425,0,0,0,50,1229.85,425
78081,37,1235.48,528,0,0,0,37,1235.48,528
78121,38,2215.02,1443,3,355.88,257,41,2570.9,1700
78271,50,1878.07,744,0,0,0,50,1878.07,744
78461,2,59.77,2,0,0,0,2,59.77,2
79051,124,1403.92,1466,0,0,0,124,1403.92,1466
79391,21,556.55,517,0,0,0,21,556.55,517
81531,27,857.33,495,0,0,0,27,857.33,495
81871,136,4109.71,1528,5,1148.86,759,141,5258.57,2287
82651,36,470.66,282,0,0,0,36,470.66,282
82991,25,980.26,659,0,0,0,25,980.26,659
83431,114,3929.77,2306,0,0,0,114,3929.77,2306
83961,59,2166.41,1350,0,0,0,59,2166.41,1350
84171,38,885.23,708,0,0,0,38,885.23,708
86071,34,922.06,703,0,0,0,34,922.06,703
88011,10,153.05,50,3,311.58,271,13,464.63,321
88351,96,3015.62,1463,0,0,0,96,3015.62,1463
88691,59,537.44,481,0,0,0,59,537.44,481
89511,3,6.86,4,0,0,0,3,6.86,4
90071,46,4313.67,1971,0,0,0,46,4313.67,1971
91191,10,117.56,53,0,0,0,10,117.56,53
91421,10,194.27,231,0,0,0,10,194.27,231
91611,33,1230.28,794,0,0,0,33,1230.28,794
91801,24,862.37,130,0,0,0,24,862.37,130
92691,19,322.66,131,0,0,0,19,322.66,131
93321,36,2002.64,898,0,0,0,36,2002.64,898
93471,2,121.11,2,0,0,0,2,121.11,2
